id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
7lmeHLHBe4nmXzuXc0HDjk,Testify,The Battle Of Los Angeles,2eia0myWFgoHuttJytCxgX,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],1,1,FALSE,0.47,0.978,7,-5.399,1,0.0727,0.0261,1.09E-05,0.356,0.503,117.906,210133,4,1999,02/11/99
1wsRitfRRtWyEapl0q22o8,Guerrilla Radio,The Battle Of Los Angeles,2eia0myWFgoHuttJytCxgX,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],2,1,TRUE,0.599,0.957,11,-5.764,1,0.188,0.0129,7.06E-05,0.155,0.489,103.68,206200,4,1999,02/11/99
1hR0fIFK2qRG3f3RF70pb7,Calm Like a Bomb,The Battle Of Los Angeles,2eia0myWFgoHuttJytCxgX,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],3,1,FALSE,0.315,0.97,7,-5.424,1,0.483,0.0234,2.03E-06,0.122,0.37,149.749,298893,4,1999,02/11/99
2lbASgTSoDO7MTuLAXlTW0,Mic Check,The Battle Of Los Angeles,2eia0myWFgoHuttJytCxgX,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],4,1,TRUE,0.44,0.967,11,-5.83,0,0.237,0.163,3.64E-06,0.121,0.574,96.752,213640,4,1999,02/11/99
1MQTmpYOZ6fcMQc56Hdo7T,Sleep Now In the Fire,The Battle Of Los Angeles,2eia0myWFgoHuttJytCxgX,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],5,1,FALSE,0.426,0.929,2,-6.729,1,0.0701,0.00162,0.105,0.0789,0.539,127.059,205600,4,1999,02/11/99
2LXPNLSMAauNJfnC58lSqY,Born of a Broken Man,The Battle Of Los Angeles,2eia0myWFgoHuttJytCxgX,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],6,1,FALSE,0.298,0.848,2,-5.947,1,0.0727,0.0538,0.00152,0.201,0.194,148.282,280960,4,1999,02/11/99
3moeHk8eIajvUEzVocXukf,Born As Ghosts,The Battle Of Los Angeles,2eia0myWFgoHuttJytCxgX,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],7,1,FALSE,0.417,0.976,9,-6.032,1,0.175,0.000427,0.000134,0.107,0.483,90.395,202040,4,1999,02/11/99
4llunZfVXv3NvUzXVB3VVL,Maria,The Battle Of Los Angeles,2eia0myWFgoHuttJytCxgX,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],8,1,FALSE,0.277,0.873,11,-6.571,0,0.0883,0.00694,5.40E-05,0.188,0.618,172.848,228093,4,1999,02/11/99
21Mq0NzFoVRvOmLTOnJjng,Voice of the Voiceless,The Battle Of Los Angeles,2eia0myWFgoHuttJytCxgX,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],9,1,FALSE,0.441,0.882,7,-7.363,1,0.044,0.0195,0.00684,0.15,0.418,83.371,151573,4,1999,02/11/99
6s2FgJbnnMwFTpWJZzvb6z,New Millennium Homes,The Battle Of Los Angeles,2eia0myWFgoHuttJytCxgX,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],10,1,FALSE,0.448,0.861,9,-6.12,1,0.0676,0.00306,0,0.0987,0.761,92.777,224933,4,1999,02/11/99
7o2Razxnl33Jrgz4PpMYNa,Ashes In the Fall,The Battle Of Los Angeles,2eia0myWFgoHuttJytCxgX,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],11,1,TRUE,0.456,0.704,7,-6.687,1,0.0982,0.0052,4.12E-06,0.0595,0.656,140.629,277267,4,1999,02/11/99
3Hxu3Ey1TV9mZ5XqMXckiS,War Within a Breath,The Battle Of Los Angeles,2eia0myWFgoHuttJytCxgX,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],12,1,FALSE,0.399,0.965,6,-5.901,1,0.143,0.00442,0.0314,0.367,0.174,98.464,216427,4,1999,02/11/99
6ZU9RJIZ0fNaFuQM57bDIA,Bombtrack,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],1,1,TRUE,0.478,0.855,4,-7.438,0,0.121,0.0134,3.18E-05,0.179,0.668,151.93,243760,4,1992,03/11/92
3FUS56gKr9mVBmzvlnodlh,Killing In the Name,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],2,1,TRUE,0.457,0.779,7,-6.323,1,0.257,0.0185,2.04E-06,0.0247,0.734,86.573,313667,4,1992,03/11/92
3tTL7jlSkowXidYeafFtwG,Take the Power Back,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],3,1,TRUE,0.542,0.842,1,-7.137,1,0.173,0.043,0.000153,0.173,0.301,104.772,335840,4,1992,03/11/92
2vuDdXqekkDCSdawJyUpT6,Settle for Nothing,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],4,1,FALSE,0.516,0.533,7,-9.563,1,0.0429,0.0253,4.71E-05,0.113,0.29,97.732,287333,4,1992,03/11/92
11cxKUEgnVAlesUKt4e3br,Bullet In the Head,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],5,1,TRUE,0.418,0.806,4,-6.965,1,0.128,0.0032,0.000788,0.623,0.447,164.202,307067,4,1992,03/11/92
1IDAJagxB9AQjjYXaiDK1j,Know Your Enemy,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],6,1,TRUE,0.574,0.765,4,-7.755,1,0.128,0.0141,0.00378,0.136,0.613,117.636,294693,4,1992,03/11/92
6zbHSDJjgrNdfIxPyGfPBt,Wake Up,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],7,1,FALSE,0.411,0.823,7,-7.554,1,0.115,0.00316,0.0148,0.149,0.573,170.281,364133,4,1992,03/11/92
3YEk8mVdMI7rxtfimlUd1G,Fistful of Steel,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],8,1,FALSE,0.52,0.755,4,-9.031,0,0.134,0.0195,0.34,0.0956,0.608,155.513,331107,4,1992,03/11/92
0WK0EqiidP6WEDOHK34HEe,Township Rebellion,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],9,1,TRUE,0.525,0.597,2,-8.578,1,0.0551,0.00747,0.00553,0.351,0.47,133.58,324427,4,1992,03/11/92
1zVE9JBBy8j0KmlbM8Xwhi,Freedom,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],10,1,FALSE,0.499,0.613,7,-8.53,1,0.0953,0.00061,0.0225,0.232,0.531,113.577,366267,4,1992,03/11/92
2SwgVZn9S4NGueAaEAryf1,Man on a Mission,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],1,1,FALSE,0.787,0.903,0,-4.894,1,0.0315,0.292,2.48E-05,0.101,0.962,119.946,224307,4,2018,10/04/18
0QCQ1Isa0YPVyIbs6JwpO1,Do It for Love,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],2,1,FALSE,0.587,0.958,4,-5.149,1,0.0586,0.107,0,0.0574,0.832,87.976,238000,4,2018,10/04/18
3kIBEFhsZOeeKGebxRraOb,Someday We'll Know,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],3,1,FALSE,0.565,0.781,1,-5.073,0,0.0308,0.0233,9.91E-06,0.0819,0.461,109.977,268013,4,2018,10/04/18
5dNDRw6qjDcnbW3luRhElU,Forever for You,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],4,1,FALSE,0.651,0.567,9,-6.417,1,0.024,0.562,5.78E-06,0.186,0.37,97.03,277813,4,2018,10/04/18
561UU4MvlsCenN1x7leYCh,Life's Too Short,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],5,1,FALSE,0.833,0.805,0,-4.554,1,0.0347,0.076,0.0136,0.0731,0.974,116.013,209960,4,2018,10/04/18
5ytl6Ay8G7ucmujk9R3S0c,Getaway Car,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],6,1,FALSE,0.782,0.619,8,-5.759,1,0.0266,0.264,0,0.0607,0.898,110.004,229253,4,2018,10/04/18
0zjqm0VWOQT9is5gT9CTib,Make You Stay,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],7,1,FALSE,0.605,0.921,9,-4.336,0,0.0407,0.0203,0,0.228,0.705,90.02,221174,4,2018,10/04/18
5UMTzSiB8mMu9vuo2PZkhd,Miss DJ,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],8,1,FALSE,0.679,0.891,10,-3.531,1,0.0339,0.0953,0,0.155,0.965,102.992,229213,4,2018,10/04/18
6Uz62Rd9XadpjT8Zebgwq2,She Got Me Bad,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],9,1,FALSE,0.61,0.744,10,-5.819,1,0.0506,0.41,0,0.142,0.672,170.001,196280,4,2018,10/04/18
7IYXfiXsiMdhcboT6Vw7Qu,Breath of Your Life,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],10,1,FALSE,0.705,0.769,1,-7.083,1,0.0348,0.281,0,0.0997,0.795,96.003,234987,4,2018,10/04/18
0dT5eHAqMNchKMw06dgyFW,Intuition,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],11,1,FALSE,0.77,0.55,7,-6.515,1,0.034,0.536,0,0.149,0.656,125.919,250693,4,2018,10/04/18
3nvfZxZcdZ5rIy8bxAr5fX,Heartbreak Time,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],12,1,FALSE,0.611,0.61,5,-7.851,0,0.0393,0.299,0,0.297,0.684,171.995,246400,4,2018,10/04/18
2nWM35FPxkYAWHHv9hrczL,Something About You,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],13,1,FALSE,0.8,0.552,10,-6.208,1,0.0244,0.158,0,0.167,0.347,98.022,242907,4,2018,10/04/18
1pxJE4N74aGkC6BbIUhq3P,Love in a Dangerous Time,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],14,1,FALSE,0.593,0.95,8,-6.72,1,0.0403,0.183,0.000251,0.0615,0.791,99.016,296008,4,2018,10/04/18
5oLsi3F0C26MGnXJcnzQyB,Love The One You're With,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,['Will Young'],['2U6gqwyl9F33YxawnFrZG7'],1,1,FALSE,0.61,0.883,0,-5.889,1,0.0749,0.24,0,0.248,0.641,95.034,215093,4,2003,01/12/03
7xGWDXdFKvsapcORfJuloO,Your Game,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,['Will Young'],['2U6gqwyl9F33YxawnFrZG7'],2,1,FALSE,0.741,0.632,11,-7.838,0,0.0431,0.077,0,0.0334,0.593,92.987,250000,4,2003,01/12/03
0AqhwhQv1xnqCH9wzlQ7PE,Stronger,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,['Will Young'],['2U6gqwyl9F33YxawnFrZG7'],3,1,FALSE,0.645,0.513,0,-8.404,1,0.0391,0.296,3.75E-06,0.109,0.683,75.008,318720,4,2003,01/12/03
4mZsyuthp695XQWwb2g3qe,Leave Right Now,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,['Will Young'],['2U6gqwyl9F33YxawnFrZG7'],4,1,FALSE,0.641,0.445,6,-8.674,1,0.0368,0.145,0,0.108,0.383,81.931,214733,4,2003,01/12/03
5nvUqq0fvB0GN6mqzDc9Ey,Love Is A Matter Of Distance,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,['Will Young'],['2U6gqwyl9F33YxawnFrZG7'],5,1,FALSE,0.543,0.56,8,-6.982,1,0.024,0.51,0,0.0954,0.304,99.941,178027,4,2003,01/12/03
